iter	MultiClass
0	1.02242077
1	0.9613555304
2	0.9160109846
3	0.8745630513
4	0.8457823546
5	0.8201062372
6	0.7982970535
7	0.7796173582
8	0.7631622062
9	0.7515170413
10	0.7391479049
11	0.7295934614
12	0.7198671305
13	0.7117349594
14	0.7036012521
15	0.6964653015
16	0.690015975
17	0.6847447799
18	0.6780981542
19	0.6732340074
20	0.6688984382
21	0.6638403962
22	0.6602167698
23	0.656939215
24	0.654395353
25	0.6514714011
26	0.6494402621
27	0.6470649479
28	0.6441123104
29	0.6412702867
30	0.638323553
31	0.6370266153
32	0.6352923076
33	0.6333576908
34	0.6309585845
35	0.6296397194
36	0.6274187643
37	0.6261184779
38	0.624637431
39	0.6233786311
40	0.6210004198
41	0.6191817123
42	0.6180598308
43	0.6162843975
44	0.6156221309
45	0.614504525
46	0.6129625981
47	0.6119031714
48	0.6103636314
49	0.6096221845
50	0.6086750339
51	0.6077208147
52	0.6063821628
53	0.605417567
54	0.6040611036
55	0.6024238419
56	0.6010965501
57	0.6002607042
58	0.5991639578
59	0.597376627
60	0.5960714619
61	0.5945703367
62	0.5938789366
63	0.5929650489
64	0.5917440891
65	0.5909768181
66	0.5899578074
67	0.5890425576
68	0.5882419201
69	0.5871712119
70	0.5863542014
71	0.5856578133
72	0.5848384402
73	0.5841091266
74	0.5833470786
75	0.5824176913
76	0.5814811779
77	0.5805784838
78	0.5796149453
79	0.578773939
80	0.5779817392
81	0.5772964229
82	0.5765273667
83	0.5756709562
84	0.5750823119
85	0.574354075
86	0.5737614818
87	0.5735201307
88	0.5724424721
89	0.5714474382
90	0.5705182986
91	0.5697076925
92	0.5687483602
93	0.5682310991
94	0.5670982416
95	0.566093297
96	0.5653893829
97	0.5644250764
98	0.5634192978
99	0.5622609568
100	0.5611982852
101	0.5605819118
102	0.5595659278
103	0.558611856
104	0.5577403434
105	0.557306301
106	0.5567251549
107	0.555926908
108	0.5550453707
109	0.5542844082
110	0.5531840345
111	0.5521606153
112	0.5513872953
113	0.5504657169
114	0.5496889434
115	0.5491268393
116	0.5479006378
117	0.5469237702
118	0.5461667668
119	0.5452414328
120	0.5446297139
121	0.5437493371
122	0.543476713
123	0.5427403279
124	0.5421544579
125	0.5416549776
126	0.541036291
127	0.5402091314
128	0.5396191209
129	0.5389785614
130	0.5380544846
131	0.5375815901
132	0.5370160705
133	0.5364580556
134	0.5356753063
135	0.535216992
136	0.5343485112
137	0.533759368
138	0.533210261
139	0.5322869955
140	0.5315955479
141	0.5307786837
142	0.5303125781
143	0.5294431058
144	0.5286788408
145	0.5280630764
146	0.5273902891
147	0.52659765
148	0.5262486388
149	0.5256653115
150	0.5250624537
151	0.5245082988
152	0.5238617073
153	0.5233890988
154	0.5227835893
155	0.5220722354
156	0.5213795667
157	0.5209056616
158	0.5205158056
159	0.5199231127
160	0.5192906829
161	0.5188616401
162	0.5182183448
163	0.5178900331
164	0.5171772159
165	0.5165798895
166	0.5161718444
167	0.5158328459
168	0.5154647398
169	0.5151214311
170	0.5146449856
171	0.5139813894
172	0.513311647
173	0.5128652031
174	0.5123143517
175	0.5118290907
176	0.5111099127
177	0.5104394006
178	0.5098650087
179	0.5092998266
180	0.5086094116
181	0.5080263246
182	0.5072641838
183	0.5067635349
184	0.5062724044
185	0.5057919962
186	0.5052648176
187	0.5047247154
188	0.5038763512
189	0.5031182237
190	0.5027473653
191	0.5022842509
192	0.5019748554
193	0.5015584149
194	0.5010024511
195	0.500495085
196	0.5000605055
197	0.4997470572
198	0.4992975562
199	0.4989744534
200	0.498571837
201	0.4983407308
202	0.4978711963
203	0.4975177955
204	0.4971335326
205	0.4967945583
206	0.496350415
207	0.4958007449
208	0.4954302313
209	0.4949738266
210	0.494351531
211	0.4937310119
212	0.4932483724
213	0.4927496138
214	0.4923563897
215	0.4920538684
216	0.4914524327
217	0.4906700059
218	0.4901388143
219	0.4896045823
220	0.4890981659
221	0.4886787121
222	0.488104366
223	0.4875455316
224	0.4870260293
225	0.4866489572
226	0.4860098867
227	0.4852720261
228	0.484864813
229	0.4844635383
230	0.4839036565
231	0.4836215268
232	0.4827764232
233	0.4819665396
234	0.4815928531
235	0.4811690422
236	0.4808739706
237	0.4805167278
238	0.4801527713
239	0.4796817002
240	0.479182043
241	0.4786952868
242	0.4780877799
243	0.4777604095
244	0.4772030219
245	0.476824617
246	0.476417548
247	0.4760809444
248	0.4756858164
249	0.4753924771
250	0.47497678
251	0.474116289
252	0.4733484581
253	0.4726248609
254	0.4718929145
255	0.4717100744
256	0.4712507901
257	0.4706117394
258	0.4701140345
259	0.4696791344
260	0.4692681116
261	0.4688308899
262	0.4683273311
263	0.4679243772
264	0.467413547
265	0.4668298178
266	0.4665824211
267	0.4660471137
268	0.4654911135
269	0.4649999823
270	0.4646179567
271	0.4642896593
272	0.4640382317
273	0.4636039191
274	0.4632161902
275	0.4628255946
276	0.4624654633
277	0.4619507775
278	0.4616259937
279	0.4611871769
280	0.4606263568
281	0.4602206803
282	0.4598564169
283	0.4595010704
284	0.4590924266
285	0.4585994828
286	0.4579923165
287	0.4576267777
288	0.4570987905
289	0.4565591794
290	0.4562716426
291	0.4559003643
292	0.4551723391
293	0.4550194984
294	0.4546249772
295	0.4542163474
296	0.4538381767
297	0.4531611906
298	0.4527835149
299	0.4522405
300	0.4518370439
301	0.4512454821
302	0.4508891315
303	0.450469671
304	0.4499149996
305	0.4493909933
306	0.44878003
307	0.4484893083
308	0.4480417648
309	0.4477719354
310	0.4471730429
311	0.4466553461
312	0.4462562236
313	0.4459036834
314	0.4455849292
315	0.4449522811
316	0.4444793031
317	0.4440211247
318	0.44355468
319	0.4432006826
320	0.4429300323
321	0.4423310534
322	0.4418350793
323	0.4412859573
324	0.4407222737
325	0.4402191598
326	0.4397062737
327	0.4394249442
328	0.4390219029
329	0.4387068117
330	0.4382660065
331	0.4378250431
332	0.4374164533
333	0.4370504355
334	0.4367696215
335	0.4362817371
336	0.4359758195
337	0.4355775273
338	0.434936771
339	0.4342465856
340	0.4339775469
341	0.4335303261
342	0.4332475025
343	0.4328273111
344	0.4323905699
345	0.4320605582
346	0.4314325866
347	0.4311590062
