iter	Passed	Remaining
0	182	181970
1	188	94159
2	201	67041
3	213	53230
4	219	43664
5	226	37580
6	233	33159
7	241	29994
8	249	27424
9	256	25350
10	261	23520
11	269	22207
12	276	20989
13	282	19916
14	289	19025
15	295	18176
16	302	17464
17	307	16769
18	313	16162
19	318	15603
20	323	15102
21	329	14658
22	335	14235
23	341	13872
24	346	13503
25	351	13179
26	357	12871
27	363	12609
28	368	12329
29	375	12143
30	381	11925
31	388	11747
32	393	11539
33	399	11336
34	404	11151
35	409	10966
36	414	10795
37	420	10642
38	426	10516
39	432	10369
40	439	10274
41	447	10217
42	458	10215
43	471	10247
44	488	10359
45	497	10317
46	554	11235
47	572	11358
48	591	11470
49	606	11531
50	612	11396
51	618	11268
52	624	11165
53	630	11037
54	649	11152
55	662	11168
56	671	11105
57	678	11015
58	685	10926
59	743	11647
60	767	11813
61	784	11862
62	791	11776
63	799	11688
64	805	11592
65	811	11483
66	819	11410
67	824	11304
68	831	11213
69	836	11109
70	841	11014
71	849	10944
72	855	10865
73	862	10798
74	868	10709
75	875	10643
76	883	10593
77	898	10617
78	906	10571
79	913	10501
80	921	10451
81	927	10381
82	932	10306
83	939	10245
84	944	10163
85	949	10095
86	955	10023
87	961	9968
88	966	9895
89	972	9831
90	977	9764
91	983	9702
92	989	9650
93	995	9593
94	1001	9544
95	1007	9485
96	1013	9436
97	1019	9381
98	1026	9341
99	1032	9288
100	1038	9244
101	1044	9195
102	1050	9147
103	1058	9122
104	1066	9091
105	1071	9040
106	1077	8990
107	1082	8939
108	1087	8891
109	1092	8838
110	1096	8781
111	1100	8727
112	1104	8670
113	1108	8618
114	1112	8563
115	1117	8515
116	1122	8469
117	1126	8418
118	1130	8372
119	1135	8329
120	1139	8277
121	1143	8231
122	1147	8181
123	1152	8143
124	1157	8105
125	1163	8067
126	1167	8028
127	1171	7982
128	1176	7941
129	1180	7897
130	1184	7860
131	1189	7823
132	1194	7787
133	1198	7744
134	1202	7702
135	1208	7674
136	1213	7641
137	1218	7612
138	1223	7577
139	1227	7542
140	1232	7510
141	1237	7475
142	1241	7443
143	1246	7407
144	1252	7382
145	1257	7354
